col_s,row_s,proportion_lichen
20,21,0.9178024280633392
21,21,0.93397191055028
22,21,0.8952354314064441
23,21,0.9972121473343452
24,21,0.9765233459734328
25,21,0.9765233459734328
26,21,1.0
27,21,0.9811783735100311
28,21,1.0
29,21,0.9859140075840597
30,21,0.9436560303362389
31,21,0.9906093383893732
32,21,0.8359568799893622
33,21,0.6494642095658194
34,21,
35,21,
36,21,
37,21,
0,22,
1,22,
2,22,
3,22,
4,22,0.7594789283274259
5,22,0.8701951955394357
6,22,0.8915780573655238
7,22,0.8425596889343342
8,22,0.9625840826451586
9,22,0.8675036338375617
10,22,0.9530466919468658
11,22,0.9530466919468658
12,22,0.9170980654686848
13,22,0.8769242080304381
14,22,0.9801457203251883
15,22,0.8539036815245152
16,22,0.9436560303362389
17,22,1.0
18,22,0.8967027222831047
19,22,1.0
20,22,0.9858837801325233
21,22,0.9031588021404106
22,22,0.9759364296227687
23,22,0.8859914988834834
24,22,1.0
25,22,0.9765233459734328
26,22,0.9765233459734328
27,22,1.0
28,22,1.0
29,22,1.0
30,22,1.0
31,22,1.0
32,22,1.0
33,22,0.9728551187817818
34,22,
35,22,
36,22,
37,22,
0,23,
1,23,
2,23,
3,23,
4,23,0.28170150718284737
5,23,0.6283627326458464
6,23,0.8507503836928252
7,23,0.9551008991741904
8,23,0.9059466548060654
9,23,0.8667699883992315
10,23,0.9038924475787408
11,23,0.8173222858557745
12,23,0.9787242822884236
13,23,0.7942855042229187
14,23,1.0
15,23,0.7313390404834723
16,23,0.7119708009115544
17,23,0.5864303105612846
18,23,0.7173401684633338
19,23,0.9612635208561642
20,23,0.9589241896499435
21,23,0.9746663059576595
22,23,0.9728551187817818
23,23,1.0
24,23,0.9887018602497145
25,23,0.9925168165290317
26,23,0.9775504495870951
27,23,0.9869130878311936
28,23,1.0
29,23,1.0
30,23,1.0
31,23,1.0
32,23,1.0
33,23,0.8609008248925897
34,23,
35,23,
36,23,
37,23,
0,24,
1,24,
2,24,
3,24,
4,24,
5,24,0.8154239782840951
6,24,0.8761889882456737
7,24,0.8849643952698211
8,24,0.9022784276144143
9,24,0.7851152511130777
10,24,0.7047077110720853
11,24,0.9929570037920299
12,24,0.8908518999124211
13,24,0.8012333311889422
14,24,0.9318626799150805
15,24,0.7602630118896414
16,24,0.9873629573247619
17,24,0.859520654411731
18,24,0.8480482738698422
19,24,0.7734502886436272
20,24,0.9788762165589876
21,24,0.9890916093888275
22,24,0.9822457803924086
23,24,0.993250461967362
24,24,0.967132684362806
25,24,0.9859140075840597
26,24,0.9989728963863377
27,24,0.9948534615066491
28,24,0.9853270912333956
29,24,1.0
30,24,0.9483513611415523
31,24,0.9812186767787463
32,24,0.9624373535574926
33,24,1.0
34,24,
35,24,
36,24,
37,24,
0,25,
1,25,
2,25,
3,25,
4,25,
5,25,0.7435267253277331
6,25,0.7926680206964369
7,25,0.6474100023384949
8,25,0.8204035966967614
9,25,0.8543713804914508
10,25,0.4931564636455759
11,25,0.8322565558097841
12,25,0.9949928698833962
13,25,0.8126246427291358
14,25,0.9356455392064708
15,25,0.8611759419319636
16,25,0.9827043087913649
17,25,0.9782840950254253
18,25,0.9813654058664123
19,25,0.9460036957388955
20,25,0.9136851972686585
21,25,0.9860607366717258
22,25,0.9483513611415523
23,25,0.9862074657593918
24,25,1.0
25,25,1.0
26,25,1.0
27,25,0.9673562415564603
28,25,1.0
29,25,1.0
30,25,1.0
31,25,1.0
32,25,0.9627308117328247
33,25,1.0
34,25,
35,25,
36,25,
37,25,
0,26,
1,26,
2,26,
3,26,
4,26,
5,26,0.86163447033092
6,26,0.7345672772054296
7,26,0.5875720462746861
8,26,0.9239943325889889
9,26,0.64619948736525
10,26,0.7435221400437436
11,26,0.8933600502547125
12,26,0.693923123128631
13,26,0.8391385062172023
14,26,0.9649088216278675
15,26,0.8784074391647446
16,26,0.9672519017465346
17,26,0.9543672537358602
18,26,0.9708192526904154
19,26,0.8292531947966197
20,26,0.9084743270441408
21,26,0.9840065294444011
22,26,0.9247279780273191
23,26,0.871612048292211
24,26,0.9624373535574926
25,26,1.0
26,26,0.9973588764220112
27,26,0.9050096038084385
28,26,1.0
29,26,1.0
30,26,1.0
31,26,1.0
32,26,0.9052130093677352
33,26,0.9677196007134702
34,26,
35,26,
36,26,
37,26,
0,27,
1,27,
2,27,
3,27,
4,27,
5,27,
6,27,0.6967525649763304
7,27,0.9827682862945842
8,27,0.87089540579537
9,27,0.8813722877282628
10,27,0.8862982602861843
11,27,0.6879727233459852
12,27,0.7079707014915771
13,27,0.9826299987106044
14,27,0.9232430544705958
15,27,0.5670566394941687
16,27,0.8859214601464925
17,27,0.9514754942055491
18,27,0.921607190449495
19,27,0.8631847883026532
20,27,0.7875352281309289
21,27,0.9278565586199925
22,27,0.9082445708614019
23,27,0.9602981316227219
24,27,0.9388297139076013
25,27,0.9808475246068872
26,27,0.9459245848305778
27,27,0.9333935051299527
28,27,1.0
29,27,1.0
30,27,1.0
31,27,1.0
32,27,0.9147145049673286
33,27,1.0
34,27,
35,27,
36,27,
37,27,
0,28,
1,28,
2,28,
3,28,
4,28,
5,28,
6,28,0.7237733317403572
7,28,0.9502588392812109
8,28,0.7185736098565265
9,28,0.861781199418586
10,28,0.7923737556685573
11,28,0.8801727735007268
12,28,0.9287905396420727
13,28,0.7996663940226632
14,28,0.9127558015305678
15,28,0.8211372421350916
16,28,1.0
17,28,1.0
18,28,0.9116690892250412
19,28,0.8192481051313913
20,28,0.7406512209243551
21,28,0.9518178358376626
22,28,0.9354392014269404
23,28,0.9765233459734328
24,28,0.9812186767787463
25,28,0.9507357088161256
26,28,0.9961483614487663
27,28,0.9823547251656543
28,28,0.9718280151681195
29,28,0.9624373535574926
30,28,0.9859140075840597
31,28,1.0
32,28,0.8972896386337688
33,28,
34,28,
35,28,
36,28,
37,28,
0,29,
1,29,
2,29,
3,29,
4,29,
5,29,0.8408952308461225
6,29,0.4269834851255847
7,29,0.7412340833329513
8,29,0.6551407911448995
9,29,0.6496201092214646
10,29,0.7726111816735369
11,29,0.6853623979201152
12,29,0.9395934687214853
13,29,0.7793283767266177
14,29,0.8546052299749185
15,29,0.7340718697412524
16,29,0.9790177404637557
17,29,0.8044101261411626
18,29,0.9424271742270357
19,29,0.5976780121876848
20,29,0.895497697843049
21,29,1.0
22,29,0.7775587030982763
23,29,0.8590300290248477
24,29,0.8883024820142236
25,29,0.7986876917221868
26,29,0.9371999504789329
27,29,0.9732104290926469
28,29,0.9929845154959672
29,29,1.0
30,29,0.967132684362806
31,29,1.0
32,29,0.9371999504789329
33,29,
34,29,
35,29,
36,29,
37,29,
0,30,
1,30,
2,30,
3,30,
