col_s,row_s,proportion_lichen
32,25,0.3246702034490506
33,25,0.8628908381440604
34,25,
35,25,
36,25,
37,25,
0,26,
1,26,
2,26,
3,26,
4,26,
5,26,0.8182026603817707
6,26,0.6822196285302038
7,26,0.554704730637492
8,26,0.9426289267225766
9,26,0.6011536574517743
10,26,0.7630692056912545
11,26,0.9317709742352893
12,26,0.7100633227718959
13,26,0.834580143551663
14,26,0.9647620925402015
15,26,0.879728000953739
16,26,0.9632902163795515
17,26,0.9396943449692556
18,26,0.9787242822884236
19,26,0.8085827345716657
20,26,0.9105329424414811
21,26,0.9997065418246679
22,26,0.9269289143423098
23,26,0.8582597013146009
24,26,0.9320644324106213
25,26,0.9828326967430728
26,26,0.963904644434153
27,26,0.8304583176333276
28,26,0.9534868792098639
29,26,0.9295700379202986
30,26,0.9857672784963937
31,26,0.8500887252451981
32,26,0.07107648712222991
33,26,0.8091879920582882
34,26,
35,26,
36,26,
37,26,
0,27,
1,27,
2,27,
3,27,
4,27,
5,27,
6,27,0.5626554182246865
7,27,0.9779158357151391
8,27,0.8844234498350351
9,27,0.8901949251454356
10,27,0.8962972493589803
11,27,0.6800323496705296
12,27,0.710617492716729
13,27,0.9867560647645011
14,27,0.910597274172648
15,27,0.5251491117625975
16,27,0.8725404600637803
17,27,0.9567690766558528
18,27,0.9088327466892134
19,27,0.8714008693973955
20,27,0.7965794175615687
21,27,0.9283895929639466
22,27,0.9291248127487111
23,27,0.9588276920531932
24,27,0.9241253182123131
25,27,0.9670253926533163
26,27,0.9032818373142422
27,27,0.792517821289764
28,27,0.9461819117552454
29,27,0.9980884285596126
30,27,0.8866291091893282
31,27,0.7233643657350819
32,27,0.025493746036705848
33,27,0.600867559346022
34,27,
35,27,
36,27,
37,27,
0,28,
1,28,
2,28,
3,28,
4,28,
5,28,
6,28,0.6785711003483104
7,28,0.9585352768823737
8,28,0.6722072181540564
9,28,0.835369963638698
10,28,0.804405540857173
11,28,0.8845287932908125
12,28,0.9435093012485728
13,28,0.7921671522180662
14,28,0.9195053395632058
15,28,0.819083034907767
16,28,1.0
17,28,1.0
18,28,0.9207662926603359
19,28,0.8019340727867981
20,28,0.7476541893742361
21,28,0.9382270540925952
22,28,0.9655186643984796
23,28,0.973588764220112
24,28,0.9678663298011362
25,28,0.9375300909261816
26,28,0.9879315325394679
27,28,0.9648564942882613
28,28,0.9163644200303546
29,28,0.8864316861464815
30,28,0.7084493028075693
31,28,0.416949043739024
32,28,0.02694312872267744
33,28,
34,28,
35,28,
36,28,
37,28,
0,29,
1,29,
2,29,
3,29,
4,29,
5,29,0.7949965381105879
6,29,0.3011460238395015
7,29,0.7342782075207828
8,29,0.5992370087441365
9,29,0.5582078876055189
10,29,0.7707037035338784
11,29,0.6911306851789866
12,29,0.957155106401515
13,29,0.771535047008115
14,29,0.839638863032982
15,29,0.703112032243717
16,29,0.9970654182466792
17,29,0.8121867677874629
18,29,0.9255533291454406
19,29,0.5598219075698453
20,29,0.8988797088529652
21,29,0.993543920142694
22,29,0.7747708504326215
23,29,0.8684206906354746
24,29,0.8629183498479979
25,29,0.7628857943316719
26,29,0.9187120854330113
27,29,0.9005707143579234
28,29,0.9629050525244282
29,29,0.993397191055028
30,29,0.6857062942193325
31,29,0.24885253268161164
32,29,0.05984712663178794
33,29,
34,29,
35,29,
36,29,
37,29,
0,30,
1,30,
2,30,
3,30,
4,30,
5,30,
6,30,0.6104254165479593
7,30,0.7368505518389281
8,30,0.4587760042918258
9,30,0.04284489359848502
10,30,0.39790177404637556
11,30,0.7463558455492941
12,30,0.8242185529760786
13,30,0.9829429009934657
14,30,0.420071622135917
15,30,0.7900856989577649
16,30,0.8073447078944834
17,30,0.861927928506252
18,30,0.8743081952780746
19,30,0.7909018795079074
20,30,0.8087969047247061
21,30,0.8262819307713823
22,30,0.6657419677287713
23,30,0.702396727941345
24,30,0.8150113027250343
25,30,0.8785083154125151
26,30,0.7049278047035843
27,30,0.6241832167703633
28,30,0.7316049869548671
29,30,0.9897289638633768
30,30,0.6028043596880173
31,30,0.23975532924631687
32,30,0.03787444575379776
33,30,
34,30,
35,30,
36,30,
37,30,
0,31,
1,31,
2,31,
3,31,
4,31,
5,31,
6,31,0.9912508845613035
